Concentration (% Weight),0,15,20,40,60,80,100
1,1.0124,1.01065,1.0095,1.0033,0.9941,0.9824,0.9693
2,1.0244,1.02198,1.0207,1.0139,1.0045,0.9929,0.9797
4,1.0482,1.04441,1.0428,1.0352,1.0254,1.0139,1.0009
8,1.0943,1.08887,1.0869,1.078,1.0676,1.056,1.0432
12,1.1399,1.13327,1.1309,1.121,1.1101,1.0983,1.0855
16,1.1849,1.17761,1.1751,1.1645,1.1531,1.1408,1.1277
20,1.2296,1.22183,1.2191,1.2079,1.196,1.1833,1.17
24,1.2741,1.26582,1.2629,1.2512,1.2388,1.2259,1.2124
28,1.3182,1.3094,1.3064,1.2942,1.2814,1.2682,1.2546
32,1.3614,1.352,1.349,1.3362,1.3232,1.3097,1.296
36,1.403,1.3933,1.39,1.3768,1.3634,1.3498,1.336
40,1.4435,1.4334,1.43,1.4164,1.4027,1.3889,1.375
44,1.4825,1.472,1.4685,1.4545,1.4405,1.4266,1.4127
48,1.521,1.5102,1.5065,1.4922,1.4781,1.4641,1.4503
50,1.54,1.529,1.5253,1.5109,1.4967,1.4827,1.469
